股票代码,营收,净利润,营业利润,总资产,股东权益,总负债,流动资产,流动负债,长期负债,市值
AAPL,143756,42097,50852,379297,88190,291107,158104,162367,76685,3757230.785
MSFT,81273,38458,38275,665302,390875,274427,180190,130005,35425,2745297.273
GOOGL,113829,34455,35934,595281,415265,180016,206038,102745,46547,3597527.155
AMZN,213386,21192,24977,818042,411065,406977,229083,218005,65648,2260452.246
META,59893,22768,24745,366021,217243,148778,108722,41836,58744,1465194.381
NVDA,68127,42960,44299,206803,157293,49510,125605,32163,7469,4271603.712
TSLA,24901,840,1571,137806,82137,54941,68642,31714,6584,1430652.191
AVGO,19311,7349,8666,169903,79872,90031,32062,16859,63805,1486341.8
ORCL,17190,3721,5637,245240,38495,206189,54874,40737,124718,417688.1582
ADBE,6398,1889,2418,29704,11433,18271,10386,11390,5379,98391.32672
CRM,11201,1943,2155,112305,59142,53163,28222,37118,10439,174506.8851
NFLX,12050.762,2418.521,2956.663,55596.993,26615.488,28981.505,13020.191,10980.93,13463.971,405312.5693
AMD,10270,1511,1752,76926,62999,13927,26947,9455,2348,342728.6712
INTC,13674,-591,550,211429,114281,85069,63688,31575,44086,241159.127
CSCO,15349,3175,3817,123371,47723,75648,35131,36786,21367,307908.8046
QCOM,12252,3004,3366,53034,23073,29961,24608,9822,14817,135940.7841
TXN,4423,1163,1505,34585,16273,18312,13750,3159,13548,178723.9629
IBM,19687,5600,4849,151880,32648,119139,36944,38658,54836,228164.78
UBER,14366,296,1774,61802,27041,33719,13993,12320,10521,147587.498
BLK,7008,1127,2228,169998,55888,108456,27424,1740,12768,148915.4703
SPGI,3916,1134,1404,61200,31127,25048,6296,7637,12370,128741.4825
ICE,3142,851,1256,136887,28915,107896,85778,84116,18609,90133.83168
CME,1648.7,1182.9,1019.6,198424.2,28728.2,169696,165359.3,160296.7,3422.3,107732.2383
MCO,1889,610,796,15830,4054,11625,5186,2981,6994,78104.53504
WMT,190656,4237,8708,284668,99617,178488,84874,107469,34624,994477.4738
COST,69597,2035,2606,83639,32087,51552,43133,40763,5688,442342.5065
HD,38198,2571,3849,105095,12813,92282,34391,32424,46341,328245.5429
LOW,20585,1000,1708,54144,-9917,64061,20955,19463,37490,132373.332
PG,22208,4319,5366,127286,53041,73969,26588,36699,25577,336699.9163
KO,11822,2271,2862,104816,32169,70541,31044,21281,42119,327459.9629
PEP,29343,2540,3557,107399,20406,86852,27949,32764,42321,211397.4108
NKE,12427,792,1006,37787,14085,23702,24015,11640,7016,66069.51219
SBUX,9915.1,293.3,918.3,32228.3,-8388.7,40609.6,12022.6,11486.6,14580.9,103026.8928
TGT,30453,1045,1380,59490,16165,43325,20005,21230,14326,54546.45248
TJX,17743,1773,2354,35767,10190,25577,15202,13361,1870,180329.4638
DG,10911.203,426.3,606.276,30963.73,8511.962,22451.768,7897.803,6961.135,4565.881,25803.91731
EL,4229,162,608,19634,4031,15603,7158,5271,7319,25577.71776
CL,5230,-37,1019,16330,54,15965,5709,6853,6871,68524.60544
KMB,4080,499,507,17098,1502,15468,5310,7125,6474,32385.9968
GIS,4436.7,303.1,554,32403.1,9343.3,23046.1,4888.6,8685.3,10992.1,19858.2784
CPB,2564,145,273,15348,4005,11341,2730,2690,6647,6672.518144
HSY,3091.021,320.017,446.667,13741.297,4636.75,9104.547,3588.899,3011.896,4612.183,41123.96698
JNJ,24564,5116,5591,199210,81544,117666,55624,54126,39438,588304.5478
PFE,17557,-1648,3687,208160,86476,121385,42898,36984,60807,162402.5661
UNH,113215,10,380,309581,94110,207883,90582,114897,72320,248685.0355
ABBV,16618,1816,5809,133960,-3270,137188,29062,43289,58941,380248.5228
MRK,16400,2963,4065,136866,52606,84204,43516,28327,46750,298763.8456
LLY,19292,6637.7,8987.4,112476,26535,85941,55629,35228,40868,854313.3368
TMO,12215,1964,2303,110343,53407,56807,28707,15189,35852,183713.8248
ABT,11459,1776,2251,86713,52130,33942,25996,16496,9896,177903.9764
DHR,6838,1197,1502,83464,52534,30923,12756,6807,18416,135021.9612
BMY,12503,1087,2813,90038,18473,71532,29390,23417,42850,126036.3284
AMGN,9866,1333,2720,90586,8658,81928,29057,25489,50005,190441.8161
GILD,7924,2183,2988,59023,22702,36405,18342,11813,22129,174140.8829
REGN,3884.3,844.6,898.6,40558.7,31256.9,9301.8,18021.9,4368.4,1985.9,82170.72435
BIIB,2279.4,-48.9,385.5,29439.5,18256.8,11182.7,8974.1,3349.4,6286.8,26971.28141
ZTS,2387,603,826,15467,3331,12136,6768,2235,9042,51688.90675
CVS,105693,2943,2112,253538,75214,178156,74714,88692,60502,92222.57869
XOM,80039,6501,6003,448980,259386,182354,83382,72330,27928,669932.2573
CVX,45787,2770,4023,324012,186450,131836,38552,33387,39122,394692.395
COP,13392,1442,1760,121939,64487,57452,15532,11972,21929,156923.9204
CAT,19133,2402,2660,98585,21318,77267,52485,36558,30690,341774.8603
GE,12717,2541,2269,130169,18677,111271,40595,38981,18809,308722.9256
BA,23948,8220,-815,168235,5454,162778,128459,108115,45498,162921.218
HON,6860,-115,714,73681,13904,58651,30387,23414,27141,145061.1999
UPS,24479,1791,2575,73090,16227,56835,19045,15620,23519,83191.48032
RTX,24238,1622,2596,171079,65245,103941,60332,58784,34288,262088.1142
LMT,20321,1344,2331,59840,6721,53119,25362,23335,20532,142342.6191
MMM,6133,577,794,37733,4702,32986,16387,9595,10932,76503.17107
UNP,6085,1848,2401,69698,18467,51231,4555,5014,30294,144335.061
CSX,3508,720,1143,43682,13155,30522,2550,3133,18165,77078.10202
NSC,2974,644,1158,45236,15547,29689,3198,3775,16480,64452.17382
DE,9344,656,1288,103436,26300,77079,73478,32085,41804,154150.2403
ITW,4093,790,1085,16148,3225,12922,6200,5126,6683,75087.63443
EMR,4346,605,864,41939,20277,21647,8843,10520,7575,74431.92218
ETN,7055,1132,1386,41251,19425,21782,12355,9370,8758,141983.4982
SLB,9745,824,1458,54868,26109,27577,19513,14721,9742,75101.7001
